;frame_n;pred.obj_detection;fruit_id;pred.axis_01_px;pred.axis_02_px;pred.depth_mm;pred.axis_01_mm;pred.axis_02_mm;pred.weight_gr
0;0;0;0_0;58;52;1271.398;70.905;63.570;163.373
1;0;1;0_2;58;49;1324.408;73.861;62.400;176.972
2;0;2;0_3;49;44;1515.303;71.394;64.109;165.623
3;0;3;0_4;53;52;1277.741;65.116;63.887;136.742
4;0;4;0_5;60;55;1486.773;85.775;78.627;231.777
5;0;5;0_6;39;38;1451.998;54.450;53.054;87.680
6;0;6;0_7;49;48;1494.907;70.433;68.996;161.202
7;0;7;0_8;50;45;1526.008;73.366;66.029;174.693
8;0;8;0_9;48;39;1214.459;56.052;45.542;95.049
9;0;9;0_10;65;55;1188.264;74.266;62.841;178.836
